 	12.12.2011 	12:41:58 	 	 	0,00 sm 	      0,00 sm 	 	 	 	 	 	 	letzte Logbuch-Datei ist\nuntil_2011-12-12_12_41_58_logbook.txt 	 	 	 	 	 	 	 	 	 	 	1076:50 h 	01076:50 h 	100,00 Liter 	    100,00 Liter 	 	 	250,00 Liter 	    250,00 Liter 	  
 	10.01.2012 	11:56:57 	 	 	0.00 sm 	     0,00 sm 	043° 23,1739' N\n004° 48,3733' E 	 	 	0,00 ktn 	 	 	Ölwechsel und Ölfilterwechsel 	1035 mb 	 30° R 	5,00 ktn 	 	 	0,00 m 	0,00 m 	sonnig 	 	gut 	00:00 h 	01076:50 h 	0,00 Liter 	    100,00 Liter 	 	 	0,00 Liter 	    250,00 Liter 	Ölwechsel + Ölfilterwechsel in Port-Saint-Louis-du-Rhone 
 	15.01.2012 	11:48:26 	 	 	0,00 sm 	     0,00 sm 	043° 23,1739' N\n004° 48,3747' E 	 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:00 h 	01076:50 h 	0,00 Liter 	    100,00 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	11:51:26 	 	 	0,00 sm 	     0,00 sm 	043° 23,1740' N\n004° 48,3730' E 	 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01076:53 h 	-0,08 Liter 	     99,92 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	11:54:26 	 	 	0,04 sm 	     0,04 sm 	043° 23,1612' N\n004° 48,4203' E 	102,02° 	 	2,58 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01076:56 h 	-0,07 Liter 	     99,85 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	11:57:26 	 	 	0,14 sm 	     0,18 sm 	043° 23,1247' N\n004° 48,5995' E 	104,50° 	 	2,72 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01076:59 h 	-0,07 Liter 	     99,78 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:00:26 	 	 	0,14 sm 	     0,32 sm 	043° 23,1073' N\n004° 48,7838' E 	88,93° 	 	2,75 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:02 h 	-0,07 Liter 	     99,71 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:03:26 	 	 	0,13 sm 	     0,45 sm 	043° 23,1233' N\n004° 48,9623' E 	82,22° 	 	2,61 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:05 h 	-0,07 Liter 	     99,64 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:06:26 	 	 	0,13 sm 	     0,58 sm 	043° 23,1369' N\n004° 49,1440' E 	84,77° 	 	3,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:08 h 	-0,07 Liter 	     99,57 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:09:26 	 	 	0,15 sm 	     0,73 sm 	043° 23,1596' N\n004° 49,3487' E 	86,31° 	 	3,15 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:11 h 	-0,07 Liter 	     99,50 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:12:26 	 	 	0,15 sm 	     0,88 sm 	043° 23,1784' N\n004° 49,5499' E 	78,36° 	 	2,99 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:14 h 	-0,07 Liter 	     99,43 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:15:26 	 	 	0,15 sm 	     1,03 sm 	043° 23,2002' N\n004° 49,7593' E 	81,85° 	 	3,41 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:17 h 	-0,07 Liter 	     99,36 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:18:26 	 	 	0,16 sm 	     1,19 sm 	043° 23,2220' N\n004° 49,9784' E 	79,66° 	 	3,16 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:20 h 	-0,07 Liter 	     99,29 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:21:26 	 	 	0,16 sm 	     1,35 sm 	043° 23,2452' N\n004° 50,1978' E 	88,16° 	 	3,30 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:23 h 	-0,07 Liter 	     99,22 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:24:26 	 	 	0,17 sm 	     1,52 sm 	043° 23,2661' N\n004° 50,4285' E 	78,66° 	 	3,24 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:26 h 	-0,07 Liter 	     99,15 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:27:26 	 	 	0,16 sm 	     1,68 sm 	043° 23,2862' N\n004° 50,6399' E 	80,39° 	 	3,35 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:29 h 	-0,07 Liter 	     99,08 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:30:26 	 	 	0,17 sm 	     1,85 sm 	043° 23,3088' N\n004° 50,8706' E 	82,50° 	 	3,21 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:32 h 	-0,07 Liter 	     99,01 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:33:26 	 	 	0,17 sm 	     2,02 sm 	043° 23,3303' N\n004° 51,1007' E 	82,04° 	 	3,47 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:35 h 	-0,07 Liter 	     98,94 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:36:25 	 	 	0,17 sm 	     2,19 sm 	043° 23,3510' N\n004° 51,3280' E 	83,74° 	 	3,47 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:38 h 	-0,07 Liter 	     98,87 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:39:25 	 	 	0,17 sm 	     2,36 sm 	043° 23,3734' N\n004° 51,5582' E 	82,55° 	 	3,51 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:41 h 	-0,07 Liter 	     98,80 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:42:25 	 	 	0,16 sm 	     2,52 sm 	043° 23,3948' N\n004° 51,7808' E 	81,35° 	 	3,06 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:44 h 	-0,07 Liter 	     98,73 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:45:25 	 	 	0,16 sm 	     2,68 sm 	043° 23,4157' N\n004° 51,9968' E 	81,24° 	 	2,99 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:47 h 	-0,07 Liter 	     98,66 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:48:25 	 	 	0,14 sm 	     2,82 sm 	043° 23,4340' N\n004° 52,1928' E 	80,02° 	 	2,91 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:50 h 	-0,07 Liter 	     98,59 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:51:25 	 	 	0,16 sm 	     2,98 sm 	043° 23,4554' N\n004° 52,4093' E 	83,42° 	 	3,45 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:53 h 	-0,07 Liter 	     98,52 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:54:25 	 	 	0,17 sm 	     3,15 sm 	043° 23,4774' N\n004° 52,6419' E 	79,48° 	 	3,11 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:56 h 	-0,07 Liter 	     98,45 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	12:57:25 	 	 	0,16 sm 	     3,31 sm 	043° 23,4933' N\n004° 52,8659' E 	83,16° 	 	3,40 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01077:59 h 	-0,07 Liter 	     98,38 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:00:25 	 	 	0,18 sm 	     3,49 sm 	043° 23,5150' N\n004° 53,1113' E 	82,72° 	 	3,49 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:02 h 	-0,07 Liter 	     98,31 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:03:25 	 	 	0,16 sm 	     3,65 sm 	043° 23,5275' N\n004° 53,3297' E 	86,43° 	 	3,02 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:05 h 	-0,07 Liter 	     98,24 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:06:25 	 	 	0,12 sm 	     3,77 sm 	043° 23,5378' N\n004° 53,4964' E 	90,97° 	 	1,74 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:08 h 	-0,07 Liter 	     98,17 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:09:25 	 	 	0,08 sm 	     3,85 sm 	043° 23,5373' N\n004° 53,6069' E 	97,93° 	 	1,54 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:11 h 	-0,07 Liter 	     98,10 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:10:21 	 	 	0,02 sm 	     3,87 sm 	043° 23,5347' N\n004° 53,6409' E 	77,50° 	 	1,49 ktn 	 	 	automatic line\nchange of course >20° 	 	 	 	 	 	 	 	 	 	 	00:01 h 	01078:12 h 	-0,07 Liter 	     98,03 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:12:25 	 	 	0,05 sm 	     3,92 sm 	043° 23,5335' N\n004° 53,7057' E 	79,18° 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:02 h 	01078:14 h 	-0,07 Liter 	     97,96 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
