#1.2#	
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	24 	3 	 	 	0,00 sm 	      0,00 sm 	035° 46,7670' N\n010° 49,9871' E 	nan° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	29 	44 	 	 	0,00 sm 	     0,00 sm 	035° 46,7658' N\n010° 49,9834' E 	nan° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	34 	44 	S 	 	0,02 sm 	     0,02 sm 	035° 46,7755' N\n010° 50,0054' E 	50,05° 	 	1,69 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	39 	44 	S 	 	0,07 sm 	     0,09 sm 	035° 46,7795' N\n010° 50,0969' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	44 	44 	 	 	0,00 sm 	     0,09 sm 	035° 46,7774' N\n010° 50,0976' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	49 	44 	 	 	0,00 sm 	     0,09 sm 	035° 46,7749' N\n010° 50,0952' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	54 	45 	 	 	0,00 sm 	     0,09 sm 	035° 46,7759' N\n010° 50,0936' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	9 	59 	44 	 	 	0,00 sm 	     0,09 sm 	035° 46,7740' N\n010° 50,0913' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	27 	2013 	10 	4 	45 	 	 	0,00 sm 	     0,09 sm 	035° 46,7729' N\n010° 50,0935' E 	81,41° 	 	0,00 kn 	 	 	Automatischer Timer-Eintrag 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	  	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	59fb8e99-249e-4964-bcdb-d03147466518 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	36 	31 	S 	 	0,09 sm 	     0,18 sm 	035° 46,7655' N\n010° 49,9865' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestartet 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
Track 2013-05-27 08:23:53 	4 	29 	2013 	16 	36 	55 	 	 	0,00 sm 	     0,18 sm 	035° 46,7654' N\n010° 49,9872' E 	278,43° 	 	0,00 kn 	 	 	 	 	 	 	 	 	 	 	 	 	 	00:00 h 	00000:00 h 	+0.00 l 	80.00 l 	Groß, Genua 1\nSpinnacker 	 	+0.00 l 	240.00 l 	Motor #1 gestoppt 	 	 	 	00:00 h 	00000:00 h 	00:00 h 	00000:00 h 	+0.00 Ah 	170.00 Ah 	+0.00 Ah 	70.00 Ah 	00:00 h 	00000:00 h 	+0,00 l 	 	 	 	 
